gndr,age_cat,eduyrs_cat,cntry,work_status,occupation,polscale,trust_cat,internet_use
2,26-40,16-20,IS,Employé,Cadres/Dirigeants,Centre-gauche,Élevée,Quotidiennement
2,41-55,13-15,IS,Employé,Employés administratifs,Centre-droite,Très élevée,Quotidiennement
2,56-70,16-20,IS,Employé,Cadres/Dirigeants,Centre-droite,Très élevée,Quotidiennement
2,41-55,16-20,IS,Employé,Services/Vente,Gauche,Élevée,Quotidiennement
1,26-40,13-15,IS,Employé,Professions intermédiaires,Droite,Faible,Quotidiennement
2,56-70,16-20,IS,Employé,Cadres/Dirigeants,Centre-gauche,Élevée,Rarement
2,41-55,16-20,IS,Employé,Professions intellectuelles,Gauche,Faible,Quotidiennement
2,26-40,16-20,IS,Employé,Services/Vente,Gauche,Faible,Quotidiennement
1,26-40,20+,IS,Employé,Professions intellectuelles,Centre-gauche,Très élevée,Quotidiennement
2,26-40,13-15,IS,Employé,Employés administratifs,Centre-gauche,Élevée,Quotidiennement
2,56-70,16-20,IS,Autre,Services/Vente,Centre-gauche,Très élevée,Quotidiennement
2,26-40,16-20,IS,Employé,Professions intellectuelles,Centre-gauche,Élevée,Quotidiennement
1,26-40,16-20,IS,Employé,Professions intellectuelles,Centre-gauche,Élevée,Quotidiennement
2,26-40,20+,IS,Employé,Cadres/Dirigeants,Centre-droite,Élevée,Quotidiennement
1,41-55,16-20,IS,Employé,Cadres/Dirigeants,Gauche,Très élevée,Quotidiennement
2,26-40,16-20,IS,Autre,Professions intellectuelles,Droite,Très élevée,Quotidiennement
1,56-70,16-20,IS,Employé,Professions élémentaires,Centre-droite,Très élevée,Quotidiennement
1,41-55,9-12,IS,Employé,Opérateurs/Assembleurs,Centre-gauche,Très faible,Quotidiennement
2,56-70,20+,IS,Employé,Professions intellectuelles,Centre-droite,Élevée,Quotidiennement
2,56-70,13-15,IS,Employé,Employés administratifs,Centre-droite,Très élevée,Quotidiennement
1,18-25,16-20,IS,Employé,Artisans/Métiers,Centre-gauche,Très élevée,Quotidiennement
2,56-70,13-15,IS,Autre,Employés administratifs,Centre-gauche,Très élevée,Quotidiennement
2,26-40,20+,IS,Autre,Professions élémentaires,Centre-gauche,Très faible,Quotidiennement
1,71+,<9,IS,Autre,Professions intermédiaires,Droite,Très élevée,Quotidiennement
1,56-70,16-20,IS,Employé,Artisans/Métiers,Gauche,Élevée,Quotidiennement
1,26-40,9-12,IS,Employé,Cadres/Dirigeants,Centre-gauche,Très faible,Quotidiennement
2,26-40,16-20,IS,Employé,Professions intellectuelles,Droite,Très élevée,Quotidiennement
2,71+,<9,IS,Employé,Cadres/Dirigeants,Droite,Très élevée,Quotidiennement
2,56-70,16-20,IS,Autre,Professions intermédiaires,Droite,Très élevée,Régulièrement
2,18-25,13-15,IS,Employé,Services/Vente,Centre-gauche,Élevée,Quotidiennement
1,41-55,20+,IS,Employé,Professions intellectuelles,Gauche,Élevée,Quotidiennement
1,56-70,16-20,IS,Employé,Professions intellectuelles,Droite,Très élevée,Quotidiennement
2,18-25,16-20,IS,Employé,Services/Vente,Centre-droite,Très élevée,Quotidiennement
2,71+,13-15,IS,Autre,Cadres/Dirigeants,Droite,Très élevée,Quotidiennement
1,26-40,16-20,IS,Employé,Professions intermédiaires,Gauche,Faible,Quotidiennement
1,56-70,13-15,IS,Employé,Professions intermédiaires,Droite,Très élevée,Quotidiennement
2,26-40,16-20,IS,Employé,Professions intermédiaires,Centre-gauche,Très élevée,Quotidiennement
1,41-55,13-15,IS,Employé,Agriculture/Pêche,Centre-gauche,Élevée,Quotidiennement
2,56-70,9-12,IS,Autre,Services/Vente,Centre-gauche,Élevée,Quotidiennement
2,56-70,13-15,IS,Autre,Services/Vente,Centre-gauche,Très élevée,Quotidiennement
1,56-70,16-20,IS,Employé,Professions intellectuelles,Gauche,Élevée,Quotidiennement
2,56-70,16-20,IS,Autre,Professions intellectuelles,Centre-droite,Très élevée,Quotidiennement
2,41-55,20+,IS,Employé,Services/Vente,Centre-droite,Très élevée,Quotidiennement
1,56-70,13-15,IS,Employé,Professions intellectuelles,Droite,Très élevée,Régulièrement
2,71+,20+,IS,Autre,Professions intellectuelles,Centre-gauche,Très élevée,Quotidiennement
1,56-70,20+,IS,Employé,Cadres/Dirigeants,Centre-droite,Très élevée,Quotidiennement
2,56-70,16-20,IS,Employé,Professions intellectuelles,Gauche,Élevée,Quotidiennement
1,56-70,16-20,IS,Employé,Employés administratifs,Centre-droite,Élevée,Quotidiennement
2,71+,16-20,IS,Employé,Employés administratifs,Centre-gauche,Faible,Quotidiennement
2,41-55,16-20,IS,Employé,Professions intellectuelles,Gauche,Faible,Quotidiennement
2,18-25,9-12,IS,Employé,Services/Vente,Centre-gauche,Très élevée,Quotidiennement
1,26-40,16-20,IS,Employé,Services/Vente,Centre-droite,Très élevée,Quotidiennement
2,56-70,16-20,IS,Employé,Professions intellectuelles,Gauche,Très élevée,Quotidiennement
2,41-55,16-20,IS,Employé,Professions intellectuelles,Droite,Très élevée,Quotidiennement
2,26-40,16-20,IS,Employé,Professions intellectuelles,Gauche,Très élevée,Quotidiennement
2,26-40,16-20,IS,Employé,Professions intellectuelles,Gauche,Très élevée,Quotidiennement
1,41-55,16-20,IS,Employé,Artisans/Métiers,Centre-droite,Élevée,Quotidiennement
2,26-40,16-20,IS,Employé,Services/Vente,Centre-gauche,Très élevée,Quotidiennement
2,26-40,16-20,IS,Employé,Professions intellectuelles,Centre-gauche,Élevée,Régulièrement
1,41-55,16-20,IS,Employé,Professions intellectuelles,Centre-gauche,Très élevée,Quotidiennement
1,26-40,16-20,IS,Employé,Professions élémentaires,Centre-droite,Élevée,Rarement
2,56-70,16-20,IS,Employé,Services/Vente,Centre-gauche,Élevée,Quotidiennement
1,56-70,20+,IS,Employé,Professions intellectuelles,Centre-droite,Très élevée,Quotidiennement
1,71+,20+,IS,Autre,Professions intellectuelles,Gauche,Élevée,Quotidiennement
1,41-55,16-20,IS,Employé,Professions intermédiaires,Centre-gauche,Élevée,Quotidiennement
1,56-70,13-15,IS,Employé,Professions intellectuelles,Centre-droite,Très élevée,Quotidiennement
1,26-40,20+,IS,Employé,Professions intellectuelles,Gauche,Élevée,Quotidiennement
1,41-55,16-20,IS,Employé,Opérateurs/Assembleurs,Centre-droite,Faible,Quotidiennement
1,56-70,<9,IS,Employé,Artisans/Métiers,Droite,Très élevée,Quotidiennement
2,41-55,16-20,IS,Employé,Professions intellectuelles,Centre-gauche,Élevée,Quotidiennement
1,56-70,16-20,IS,Employé,Professions intellectuelles,Centre-droite,Très élevée,Quotidiennement
1,26-40,20+,IS,Employé,Professions intellectuelles,Gauche,Élevée,Quotidiennement
1,56-70,13-15,IS,Employé,Services/Vente,Droite,Très élevée,Quotidiennement
1,18-25,13-15,IS,Chômeur,Professions élémentaires,Centre-gauche,Élevée,Régulièrement
2,71+,16-20,IS,Autre,Cadres/Dirigeants,Gauche,Élevée,Quotidiennement
2,71+,<9,IS,Autre,Professions intellectuelles,Centre-gauche,Très élevée,Quotidiennement
1,71+,9-12,IS,Employé,Artisans/Métiers,Centre-droite,Très élevée,Quotidiennement
2,56-70,20+,IS,Autre,Professions intermédiaires,Centre-gauche,Très élevée,Quotidiennement
2,56-70,13-15,IS,Autre,Professions intellectuelles,Gauche,Élevée,Quotidiennement
1,26-40,13-15,IS,Autre,Professions intermédiaires,Centre-droite,Très faible,Régulièrement
1,41-55,16-20,IS,Employé,Professions intellectuelles,Gauche,Très faible,Quotidiennement
1,71+,13-15,IS,Autre,Services/Vente,Gauche,Élevée,Quotidiennement
1,56-70,13-15,IS,Employé,Agriculture/Pêche,Centre-gauche,Faible,Quotidiennement
1,41-55,13-15,IS,Employé,Professions intermédiaires,Centre-droite,Faible,Quotidiennement
1,56-70,9-12,IS,Employé,Cadres/Dirigeants,Gauche,Élevée,Quotidiennement
2,41-55,20+,IS,Employé,Professions intellectuelles,Centre-droite,Élevée,Quotidiennement
2,26-40,16-20,IS,Autre,Professions intermédiaires,Gauche,Élevée,Quotidiennement
1,41-55,20+,IS,Employé,Cadres/Dirigeants,Centre-gauche,Très élevée,Quotidiennement
1,56-70,16-20,IS,Employé,Professions intellectuelles,Gauche,Élevée,Quotidiennement
1,26-40,16-20,IS,Employé,Professions intermédiaires,Gauche,Très faible,Quotidiennement
2,26-40,16-20,IS,Employé,Employés administratifs,Centre-droite,Très élevée,Quotidiennement
1,56-70,9-12,IS,Employé,Artisans/Métiers,Centre-gauche,Faible,Quotidiennement
1,41-55,20+,IS,Employé,Professions intellectuelles,Droite,Très élevée,Quotidiennement
2,56-70,16-20,IS,Employé,Professions intellectuelles,Gauche,Élevée,Quotidiennement
1,56-70,16-20,IS,Employé,Artisans/Métiers,Centre-droite,Très faible,Régulièrement
1,18-25,9-12,IS,Employé,Services/Vente,Centre-droite,Très élevée,Quotidiennement
1,56-70,16-20,IS,Employé,Cadres/Dirigeants,Centre-gauche,Élevée,Quotidiennement
2,41-55,16-20,IS,Employé,Professions intellectuelles,Centre-gauche,Très élevée,Quotidiennement
2,41-55,20+,IS,Employé,Professions intellectuelles,Centre-gauche,Élevée,Quotidiennement
1,26-40,16-20,IS,Employé,Professions intellectuelles,Centre-gauche,Très élevée,Quotidiennement
2,41-55,16-20,IS,Employé,Services/Vente,Centre-droite,Très élevée,Quotidiennement
1,56-70,16-20,IS,Employé,Cadres/Dirigeants,Centre-droite,Très élevée,Quotidiennement
1,56-70,13-15,IS,Employé,Artisans/Métiers,Droite,Très élevée,Quotidiennement
2,56-70,16-20,IS,Employé,Professions intellectuelles,Gauche,Très élevée,Quotidiennement
2,56-70,20+,IS,Employé,Professions intellectuelles,Centre-droite,Très élevée,Régulièrement
1,71+,9-12,IS,Autre,Professions intellectuelles,Centre-droite,Élevée,Quotidiennement
2,26-40,16-20,IS,Employé,Professions intermédiaires,Centre-gauche,Élevée,Quotidiennement
2,41-55,16-20,IS,Employé,Professions intermédiaires,Centre-gauche,Élevée,Quotidiennement
2,26-40,16-20,IS,Employé,Professions intellectuelles,Gauche,Élevée,Quotidiennement
2,41-55,9-12,IS,Employé,Services/Vente,Centre-gauche,Très élevée,Quotidiennement
2,41-55,9-12,IS,Employé,Services/Vente,Centre-gauche,Élevée,Quotidiennement
1,71+,20+,IS,Autre,Cadres/Dirigeants,Gauche,Élevée,Quotidiennement
2,18-25,13-15,IS,Employé,Services/Vente,Centre-gauche,Faible,Quotidiennement
1,56-70,<9,IS,Employé,Opérateurs/Assembleurs,Droite,Très élevée,Régulièrement
2,26-40,16-20,IS,Employé,Professions intellectuelles,Centre-gauche,Élevée,Quotidiennement
1,71+,16-20,IS,Autre,Cadres/Dirigeants,Droite,Très élevée,Quotidiennement
2,41-55,16-20,IS,Employé,Professions intellectuelles,Gauche,Très élevée,Quotidiennement
2,41-55,16-20,IS,Employé,Professions intellectuelles,Centre-gauche,Élevée,Quotidiennement
1,56-70,16-20,IS,Employé,Cadres/Dirigeants,Droite,Faible,Quotidiennement
2,18-25,9-12,IS,Employé,Professions intermédiaires,Gauche,Élevée,Quotidiennement
1,41-55,16-20,IS,Employé,Professions intellectuelles,Gauche,Faible,Quotidiennement
2,26-40,16-20,IS,Employé,Cadres/Dirigeants,Centre-droite,Élevée,Quotidiennement
1,71+,16-20,IS,Autre,Artisans/Métiers,Centre-droite,Élevée,Quotidiennement
1,56-70,13-15,IS,Autre,Professions intermédiaires,Centre-droite,Très élevée,Régulièrement
2,41-55,13-15,IS,Autre,Services/Vente,Centre-gauche,Très élevée,Quotidiennement
2,56-70,16-20,IS,Employé,Professions intellectuelles,Centre-droite,Très faible,Quotidiennement
2,71+,13-15,IS,Autre,Employés administratifs,Centre-droite,Faible,Régulièrement
2,41-55,13-15,IS,Employé,Cadres/Dirigeants,Gauche,Très élevée,Quotidiennement
1,18-25,13-15,IS,Autre,Professions élémentaires,Gauche,Très élevée,Quotidiennement
1,56-70,16-20,IS,Employé,Services/Vente,Gauche,Élevée,Quotidiennement
1,41-55,16-20,IS,Employé,Professions intermédiaires,Centre-droite,Très élevée,Quotidiennement
1,56-70,16-20,IS,Employé,Artisans/Métiers,Centre-gauche,Faible,Quotidiennement
2,26-40,16-20,IS,Employé,Employés administratifs,Centre-gauche,Élevée,Quotidiennement
2,56-70,16-20,IS,Employé,Cadres/Dirigeants,Centre-droite,Élevée,Quotidiennement
2,41-55,16-20,IS,Autre,Professions intellectuelles,Centre-gauche,Faible,Quotidiennement
2,26-40,<9,IS,Employé,Employés administratifs,Gauche,Élevée,Quotidiennement
2,18-25,13-15,IS,Employé,Services/Vente,Centre-droite,Très élevée,Quotidiennement
2,26-40,20+,IS,Employé,Professions intellectuelles,Centre-droite,Faible,Quotidiennement
2,41-55,20+,IS,Employé,Cadres/Dirigeants,Centre-droite,Très élevée,Régulièrement
2,71+,13-15,IS,Autre,Professions intermédiaires,Centre-gauche,Élevée,Quotidiennement
1,71+,9-12,IS,Autre,Artisans/Métiers,Centre-droite,Très élevée,Régulièrement
1,26-40,16-20,IS,Employé,Professions intermédiaires,Centre-gauche,Faible,Quotidiennement
2,56-70,16-20,IS,Autre,Professions intellectuelles,Gauche,Faible,Régulièrement
1,56-70,13-15,IS,Employé,Professions intermédiaires,Centre-gauche,Faible,Quotidiennement
2,26-40,20+,IS,Employé,Agriculture/Pêche,Gauche,Élevée,Quotidiennement
1,56-70,16-20,IS,Employé,Cadres/Dirigeants,Centre-droite,Très élevée,Quotidiennement
1,41-55,20+,IS,Employé,Professions intellectuelles,Centre-droite,Très élevée,Quotidiennement
1,41-55,16-20,IS,Employé,Cadres/Dirigeants,Centre-droite,Très élevée,Quotidiennement
1,18-25,16-20,IS,Autre,Services/Vente,Centre-gauche,Très élevée,Quotidiennement
2,26-40,13-15,IS,Employé,Services/Vente,Centre-gauche,Élevée,Quotidiennement
1,71+,<9,IS,Autre,Professions intermédiaires,Centre-droite,Très élevée,Rarement
1,41-55,16-20,IS,Employé,Cadres/Dirigeants,Centre-gauche,Très élevée,Quotidiennement
1,26-40,13-15,IS,Employé,Employés administratifs,Centre-gauche,Faible,Quotidiennement
1,41-55,9-12,IS,Employé,Employés administratifs,Droite,Faible,Quotidiennement
2,26-40,16-20,IS,Employé,Professions intellectuelles,Centre-gauche,Élevée,Régulièrement
2,71+,16-20,IS,Employé,Professions intellectuelles,Centre-gauche,Très élevée,Quotidiennement
1,26-40,13-15,IS,Employé,Artisans/Métiers,Droite,Élevée,Quotidiennement
2,26-40,16-20,IS,Employé,Professions intellectuelles,Gauche,Élevée,Quotidiennement
2,56-70,9-12,IS,Autre,Services/Vente,Centre-gauche,Faible,Régulièrement
1,41-55,20+,IS,Employé,Professions intellectuelles,Centre-droite,Très élevée,Quotidiennement
2,41-55,16-20,IS,Employé,Employés administratifs,Centre-gauche,Élevée,Quotidiennement
1,26-40,16-20,IS,Employé,Professions intermédiaires,Centre-gauche,Élevée,Quotidiennement
1,41-55,<9,IS,Employé,Artisans/Métiers,Centre-gauche,Très élevée,Quotidiennement
1,71+,9-12,IS,Autre,Professions élémentaires,Centre-gauche,Faible,Quotidiennement
2,26-40,16-20,IS,Employé,Professions intellectuelles,Gauche,Très faible,Quotidiennement
2,41-55,13-15,IS,Employé,Professions intermédiaires,Centre-gauche,Élevée,Quotidiennement
1,56-70,16-20,IS,Employé,Cadres/Dirigeants,Centre-droite,Très élevée,Quotidiennement
2,71+,9-12,IS,Autre,Professions intermédiaires,Gauche,Très élevée,Quotidiennement
1,71+,<9,IS,Autre,Professions intermédiaires,Centre-droite,Faible,Quotidiennement
1,26-40,9-12,IS,Employé,Services/Vente,Gauche,Faible,Quotidiennement
1,41-55,16-20,IS,Employé,Cadres/Dirigeants,Centre-droite,Élevée,Quotidiennement
2,26-40,9-12,IS,Employé,Services/Vente,Gauche,Élevée,Quotidiennement
1,26-40,16-20,IS,Employé,Professions intermédiaires,Centre-gauche,Faible,Quotidiennement
1,56-70,20+,IS,Employé,Cadres/Dirigeants,Centre-droite,Très élevée,Quotidiennement
1,71+,13-15,IS,Autre,Cadres/Dirigeants,Gauche,Élevée,Quotidiennement
2,41-55,13-15,IS,Employé,Employés administratifs,Centre-droite,Élevée,Quotidiennement
1,56-70,20+,IS,Employé,Professions intellectuelles,Gauche,Très élevée,Quotidiennement
1,18-25,16-20,IS,Autre,Professions élémentaires,Gauche,Élevée,Quotidiennement
1,26-40,9-12,IS,Employé,Agriculture/Pêche,Centre-droite,Faible,Quotidiennement
2,56-70,13-15,IS,Employé,Professions intermédiaires,Gauche,Élevée,Quotidiennement
1,71+,9-12,IS,Autre,Professions élémentaires,Gauche,Très élevée,Quotidiennement
2,56-70,16-20,IS,Autre,Professions intellectuelles,Gauche,Très élevée,Quotidiennement
2,56-70,20+,IS,Employé,Professions intellectuelles,Centre-gauche,Élevée,Quotidiennement
1,56-70,<9,IS,Employé,Opérateurs/Assembleurs,Droite,Très élevée,Quotidiennement
2,41-55,13-15,IS,Employé,Professions intermédiaires,Centre-gauche,Faible,Quotidiennement
1,41-55,16-20,IS,Employé,Professions intellectuelles,Droite,Très élevée,Quotidiennement
1,41-55,16-20,IS,Employé,Professions intellectuelles,Centre-droite,Très élevée,Quotidiennement
2,26-40,13-15,IS,Employé,Services/Vente,Gauche,Faible,Quotidiennement
1,56-70,13-15,IS,Autre,Artisans/Métiers,Centre-droite,Élevée,Quotidiennement
2,41-55,20+,IS,Employé,Professions intermédiaires,Centre-gauche,Très élevée,Quotidiennement
2,41-55,20+,IS,Employé,Professions intellectuelles,Droite,Très élevée,Quotidiennement
2,18-25,9-12,IS,Autre,Professions élémentaires,Gauche,Très faible,Régulièrement
1,56-70,20+,IS,Autre,Cadres/Dirigeants,Droite,Très élevée,Quotidiennement
2,18-25,13-15,IS,Employé,Services/Vente,Gauche,Très élevée,Quotidiennement
1,56-70,13-15,IS,Autre,Professions intermédiaires,Gauche,Élevée,Quotidiennement
2,41-55,20+,IS,Employé,Professions intellectuelles,Gauche,Très élevée,Quotidiennement
2,26-40,9-12,IS,Autre,Opérateurs/Assembleurs,Centre-gauche,Faible,Quotidiennement
2,41-55,16-20,IS,Employé,Professions intellectuelles,Centre-gauche,Très faible,Quotidiennement
1,56-70,20+,IS,Employé,Professions intellectuelles,Centre-gauche,Très élevée,Régulièrement
1,71+,20+,IS,Employé,Professions intellectuelles,Gauche,Élevée,Quotidiennement
2,56-70,16-20,IS,Employé,Professions intellectuelles,Centre-gauche,Élevée,Quotidiennement
1,26-40,9-12,IS,Employé,Artisans/Métiers,Gauche,Élevée,Régulièrement
2,56-70,9-12,IS,Autre,Employés administratifs,Centre-gauche,Élevée,Quotidiennement
2,26-40,16-20,IS,Employé,Professions intellectuelles,Centre-droite,Faible,Quotidiennement
1,71+,<9,IS,Autre,Artisans/Métiers,Centre-gauche,Élevée,Quotidiennement
1,26-40,16-20,IS,Employé,Professions intermédiaires,Centre-gauche,Très élevée,Quotidiennement
2,18-25,9-12,IS,Employé,Services/Vente,Gauche,Faible,Quotidiennement
2,41-55,16-20,IS,Employé,Professions intellectuelles,Gauche,Élevée,Quotidiennement
2,26-40,16-20,IS,Employé,Professions intellectuelles,Centre-gauche,Très élevée,Quotidiennement
2,56-70,9-12,IS,Autre,Professions élémentaires,Centre-gauche,Faible,Rarement
2,41-55,16-20,IS,Employé,Professions intellectuelles,Centre-droite,Très élevée,Quotidiennement
2,56-70,16-20,IS,Employé,Services/Vente,Centre-droite,Élevée,Quotidiennement
1,71+,16-20,IS,Employé,Cadres/Dirigeants,Centre-droite,Très élevée,Quotidiennement
2,41-55,16-20,IS,Employé,Cadres/Dirigeants,Centre-gauche,Élevée,Quotidiennement
1,56-70,13-15,IS,Employé,Artisans/Métiers,Centre-gauche,Élevée,Quotidiennement
1,26-40,16-20,IS,Employé,Opérateurs/Assembleurs,Gauche,Faible,Quotidiennement
1,71+,9-12,IS,Employé,Employés administratifs,Gauche,Très élevée,Quotidiennement
1,71+,<9,IS,Autre,Opérateurs/Assembleurs,Gauche,Élevée,Quotidiennement
1,56-70,9-12,IS,Autre,Professions intermédiaires,Centre-gauche,Très élevée,Quotidiennement
2,56-70,13-15,IS,Employé,Professions intermédiaires,Gauche,Élevée,Quotidiennement
2,56-70,9-12,IS,Employé,Services/Vente,Centre-gauche,Élevée,Quotidiennement
2,41-55,16-20,IS,Employé,Professions intellectuelles,Centre-gauche,Élevée,Quotidiennement
1,26-40,16-20,IS,Employé,Professions intellectuelles,Droite,Élevée,Quotidiennement
2,71+,16-20,IS,Autre,Professions intellectuelles,Centre-gauche,Élevée,Quotidiennement
1,26-40,9-12,IS,Employé,Artisans/Métiers,Centre-gauche,Très élevée,Quotidiennement
2,41-55,9-12,IS,Employé,Services/Vente,Centre-droite,Élevée,Quotidiennement
1,26-40,9-12,IS,Autre,Agriculture/Pêche,Centre-gauche,Élevée,Quotidiennement
1,56-70,13-15,IS,Employé,Opérateurs/Assembleurs,Centre-droite,Très élevée,Régulièrement
1,26-40,16-20,IS,Employé,Professions intermédiaires,Centre-droite,Élevée,Quotidiennement
2,56-70,20+,IS,Employé,Professions intellectuelles,Centre-gauche,Élevée,Régulièrement
1,18-25,9-12,IS,Autre,Professions élémentaires,Centre-gauche,Élevée,Quotidiennement
2,26-40,16-20,IS,Employé,Professions intermédiaires,Centre-gauche,Très élevée,Quotidiennement
1,26-40,13-15,IS,Employé,Services/Vente,Gauche,Élevée,Quotidiennement
2,71+,13-15,IS,Autre,Services/Vente,Droite,Élevée,Quotidiennement
1,56-70,16-20,IS,Employé,Professions intellectuelles,Gauche,Très élevée,Quotidiennement
1,56-70,20+,IS,Chômeur,Cadres/Dirigeants,Gauche,Très élevée,Quotidiennement
2,71+,13-15,IS,Autre,Professions intermédiaires,Droite,Élevée,Quotidiennement
2,71+,16-20,IS,Autre,Professions intermédiaires,Centre-droite,Élevée,Quotidiennement
1,56-70,16-20,IS,Employé,Artisans/Métiers,Droite,Très élevée,Régulièrement
2,56-70,20+,IS,Employé,Professions intellectuelles,Centre-droite,Élevée,Quotidiennement
1,26-40,16-20,IS,Employé,Cadres/Dirigeants,Centre-droite,Très élevée,Quotidiennement
2,41-55,16-20,IS,Employé,Opérateurs/Assembleurs,Gauche,Élevée,Quotidiennement
2,26-40,16-20,IS,Employé,Professions intermédiaires,Centre-gauche,Faible,Quotidiennement
1,71+,9-12,IS,Autre,Artisans/Métiers,Centre-droite,Très élevée,Régulièrement
2,41-55,13-15,IS,Employé,Professions intermédiaires,Centre-droite,Élevée,Quotidiennement
2,56-70,16-20,IS,Chômeur,Cadres/Dirigeants,Droite,Très élevée,Quotidiennement
2,41-55,20+,IS,Employé,Professions intellectuelles,Gauche,Élevée,Quotidiennement
1,41-55,13-15,IS,Employé,Professions intermédiaires,Centre-droite,Très élevée,Quotidiennement
2,71+,16-20,IS,Autre,Professions intermédiaires,Droite,Très élevée,Quotidiennement
2,71+,<9,IS,Autre,Services/Vente,Centre-gauche,Très élevée,Quotidiennement
1,41-55,16-20,IS,Employé,Professions intellectuelles,Centre-gauche,Très élevée,Quotidiennement
1,71+,13-15,IS,Autre,Services/Vente,Gauche,Élevée,Régulièrement
1,26-40,16-20,IS,Employé,Services/Vente,Centre-droite,Élevée,Quotidiennement
1,71+,9-12,IS,Autre,Professions intermédiaires,Centre-gauche,Faible,Rarement
2,71+,16-20,IS,Autre,Professions intellectuelles,Centre-gauche,Très faible,Régulièrement
1,41-55,9-12,IS,Employé,Professions intermédiaires,Centre-droite,Faible,Quotidiennement
1,41-55,16-20,IS,Employé,Agriculture/Pêche,Droite,Très élevée,Quotidiennement
1,18-25,13-15,IS,Autre,Services/Vente,Centre-droite,Élevée,Quotidiennement
2,41-55,16-20,IS,Employé,Artisans/Métiers,Centre-droite,Très élevée,Quotidiennement
2,71+,9-12,IS,Autre,Employés administratifs,Centre-gauche,Élevée,Quotidiennement
1,71+,13-15,IS,Autre,Cadres/Dirigeants,Centre-gauche,Très élevée,Régulièrement
2,26-40,16-20,IS,Employé,Cadres/Dirigeants,Gauche,Faible,Quotidiennement
1,71+,13-15,IS,Autre,Cadres/Dirigeants,Centre-droite,Très élevée,Quotidiennement
1,26-40,16-20,IS,Employé,Professions intellectuelles,Centre-gauche,Faible,Quotidiennement
1,26-40,16-20,IS,Employé,Employés administratifs,Gauche,Élevée,Quotidiennement
2,41-55,9-12,IS,Employé,Services/Vente,Centre-gauche,Très élevée,Quotidiennement
2,26-40,20+,IS,Employé,Professions intermédiaires,Centre-gauche,Élevée,Quotidiennement
2,18-25,13-15,IS,Employé,Services/Vente,Centre-gauche,Élevée,Quotidiennement
2,26-40,16-20,IS,Autre,Professions intellectuelles,Centre-gauche,Très élevée,Quotidiennement
2,56-70,16-20,IS,Chômeur,Services/Vente,Droite,Très élevée,Quotidiennement
2,71+,20+,IS,Autre,Professions intellectuelles,Centre-gauche,Élevée,Régulièrement
2,18-25,16-20,IS,Employé,Professions intellectuelles,Droite,Très élevée,Quotidiennement
1,56-70,9-12,IS,Employé,Cadres/Dirigeants,Gauche,Très élevée,Régulièrement
1,26-40,13-15,IS,Employé,Artisans/Métiers,Gauche,Très faible,Quotidiennement
2,56-70,9-12,IS,Autre,Professions intermédiaires,Gauche,Très élevée,Quotidiennement
2,18-25,16-20,IS,Employé,Professions intermédiaires,Centre-droite,Élevée,Quotidiennement
1,41-55,16-20,IS,Employé,Professions intermédiaires,Centre-droite,Très élevée,Quotidiennement
1,71+,20+,IS,Autre,Cadres/Dirigeants,Gauche,Très élevée,Quotidiennement
1,26-40,16-20,IS,Employé,Professions intellectuelles,Centre-droite,Élevée,Quotidiennement
1,56-70,16-20,IS,Employé,Services/Vente,Gauche,Élevée,Quotidiennement
1,41-55,16-20,IS,Employé,Professions intermédiaires,Centre-gauche,Faible,Quotidiennement
1,71+,16-20,IS,Autre,Professions intellectuelles,Gauche,Très élevée,Quotidiennement
2,18-25,9-12,IS,Employé,Services/Vente,Gauche,Élevée,Quotidiennement
1,26-40,16-20,IS,Employé,Professions intellectuelles,Gauche,Élevée,Quotidiennement
2,26-40,16-20,IS,Employé,Professions intellectuelles,Gauche,Élevée,Quotidiennement
2,26-40,16-20,IS,Autre,Services/Vente,Gauche,Élevée,Quotidiennement
1,41-55,13-15,IS,Employé,Artisans/Métiers,Centre-gauche,Très élevée,Quotidiennement
2,41-55,16-20,IS,Employé,Cadres/Dirigeants,Centre-gauche,Très élevée,Quotidiennement
1,56-70,16-20,IS,Employé,Professions intellectuelles,Centre-droite,Élevée,Quotidiennement
1,56-70,20+,IS,Employé,Professions intellectuelles,Centre-droite,Très élevée,Quotidiennement
1,56-70,13-15,IS,Employé,Professions intellectuelles,Droite,Très élevée,Régulièrement
1,41-55,9-12,IS,Employé,Employés administratifs,Droite,Très élevée,Quotidiennement
2,26-40,20+,IS,Employé,Professions intellectuelles,Gauche,Élevée,Quotidiennement
2,56-70,16-20,IS,Autre,Professions intermédiaires,Gauche,Très élevée,Quotidiennement
1,26-40,16-20,IS,Employé,Artisans/Métiers,Centre-gauche,Faible,Quotidiennement
2,56-70,16-20,IS,Employé,Cadres/Dirigeants,Centre-gauche,Très élevée,Quotidiennement
1,71+,<9,IS,Autre,Artisans/Métiers,Centre-gauche,Très élevée,Quotidiennement
2,26-40,16-20,IS,Employé,Professions intellectuelles,Gauche,Très élevée,Quotidiennement
1,26-40,16-20,IS,Employé,Professions intellectuelles,Centre-droite,Faible,Quotidiennement
2,41-55,9-12,IS,Employé,Services/Vente,Centre-droite,Élevée,Quotidiennement
1,26-40,13-15,IS,Employé,Professions élémentaires,Droite,Très faible,Quotidiennement
1,26-40,16-20,IS,Employé,Professions intellectuelles,Gauche,Très élevée,Quotidiennement
